Iteration,loss_train,metrics_train,loss_dev,metrics_dev,loss_test,metrics_test
0,0.027283143,0.118995689,0.042672101,0.158753529,0.0427319,0.164029554
1,0.025720749,0.115132704,0.051258273,0.179182664,0.041204274,0.160823986
2,0.025790116,0.115373746,0.044747662,0.163199067,0.04572437,0.157353982
3,0.027985597,0.121139362,0.044449627,0.164031476,0.042955033,0.154498339
4,0.025865179,0.114699654,0.040274438,0.154244989,0.042674284,0.177400261
5,0.027346356,0.118751355,0.04602614,0.167780638,0.036607668,0.14929232
6,0.02938493,0.126012802,0.050762944,0.175194666,0.045362834,0.166144103
7,0.02930014,0.126139447,0.044513874,0.163594469,0.040926095,0.158648103
8,0.030919082,0.129539654,0.045269176,0.165922076,0.044137985,0.182400838
9,0.0256366,0.115322545,0.05161529,0.175688431,0.050142225,0.167611048
,0.027523189,0.120110696,0.046158953,0.1667592,0.043246667,0.163820253
,0.00185649,0.005412537,0.003832409,0.007872608,0.003547624,0.010137769
